connection,color
63,red
21,blue
28,blue
51,blue
83,blue
60,yellow
96,blue
25,yellow
43,green
53,yellow
80,blue
03,blue
08,yellow
33,blue
37,yellow
65,blue
67,blue
90,green
97,green
26,red
11,green
48,green
91,red
70,red
78,blue
84,blue
69,red
87,yellow
24,yellow
82,green
56,yellow
06,yellow
95,red
79,red
32,yellow
31,yellow
99,yellow
61,red
16,green
09,yellow
13,red
34,green
22,blue
40,red
52,yellow
81,green
85,red
71,red
00,yellow
05,green
39,yellow
36,green
14,green
98,red
46,blue
74,yellow
23,green
29,blue
55,green
58,green
89,blue
02,green
93,red
07,blue
45,green
35,blue
76,yellow
18,red
64,green
47,blue
68,green
73,yellow
75,yellow
57,yellow
12,blue
41,green
38,blue
88,yellow
20,blue
50,green
30,red
42,blue
72,yellow
86,yellow
92,blue
10,yellow
44,yellow
15,blue
17,yellow
04,blue
27,yellow
59,green
01,green
66,green
94,blue
19,blue
62,yellow
77,blue
54,yellow
49,blue
