run,spain,india,usa,netwerk1,netwerk2,netwerk3
1,1.489361702,1.212121212,1.176470588,1.12,1.88,1.86
2,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
3,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
4,1.510638298,1.272727273,1.279411765,1.17,1.95,1.93
5,1.510638298,1.303030303,1.279411765,1.12,1.95,1.93
6,1.510638298,1.333333333,1.279411765,1.17,1.95,1.86
7,1.510638298,1.333333333,1.279411765,1.17,1.96,1.93
8,1.510638298,1.393939394,1.279411765,1.17,1.95,1.93
9,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
10,1.510638298,1.272727273,1.279411765,1.17,1.95,1.93
11,1.510638298,1.272727273,1.279411765,1.17,1.95,1.92
12,1.510638298,1.333333333,1.279411765,1.17,1.95,1.9
13,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
14,1.510638298,1.272727273,1.279411765,1.17,1.95,1.9
15,1.510638298,1.272727273,1.279411765,1.17,1.95,1.99
16,1.404255319,1.272727273,1.279411765,1.17,1.95,1.86
17,1.510638298,1.303030303,1.279411765,1.17,1.95,1.93
18,1.510638298,1.333333333,1.279411765,1.17,1.95,1.92
19,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
20,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
21,1.361702128,1.333333333,1.279411765,1.17,1.95,1.93
22,1.510638298,1.303030303,1.279411765,1.17,1.95,1.93
23,1.404255319,1.333333333,1.279411765,1.17,1.95,1.93
24,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
25,1.510638298,1.333333333,1.279411765,1.17,1.95,1.92
26,1.361702128,1.333333333,1.279411765,1.17,1.95,1.93
27,1.510638298,1.333333333,1.279411765,1.17,1.92,1.93
28,1.510638298,1.333333333,1.323529412,1.17,1.95,1.93
29,1.510638298,1.272727273,1.279411765,1.17,1.95,1.93
30,1.510638298,1.272727273,1.279411765,1.17,1.95,1.93
31,1.276595745,1.272727273,1.279411765,1.17,1.95,1.93
32,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
33,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
34,1.510638298,1.303030303,1.279411765,1.17,1.96,1.93
35,1.510638298,1.333333333,1.279411765,1.17,1.95,1.9
36,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
37,1.510638298,1.303030303,1.279411765,1.18,1.95,1.93
38,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
39,1.510638298,1.272727273,1.279411765,1.17,1.96,1.93
40,1.468085106,1.333333333,1.279411765,1.17,1.95,1.93
41,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
42,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
43,1.510638298,1.303030303,1.279411765,1.17,1.95,1.93
44,1.510638298,1.272727273,1.279411765,1.17,1.95,1.92
45,1.425531915,1.333333333,1.279411765,1.17,1.96,1.93
46,1.510638298,1.272727273,1.279411765,1.17,1.95,1.91
47,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
48,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
49,1.510638298,1.333333333,1.279411765,1.17,1.95,1.93
50,1.510638298,1.333333333,1.279411765,1.17,1.95,1.92
