   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
3287447/382    5.882    0.000   18.294    0.048 copy.py:145(deepcopy)
    20620    0.004    0.000    0.004    0.000 copy.py:198(_deepcopy_atomic)
281945/573    1.529    0.000   18.267    0.032 copy.py:226(_deepcopy_list)
   140877    1.903    0.000    2.554    0.000 copy.py:234(_deepcopy_tuple)
140877/4269    1.488    0.000   17.998    0.004 copy.py:253(_deepcopy_dict)
   725196    0.891    0.000    1.096    0.000 copy.py:267(_keep_alive)
140877/4269    1.245    0.000   18.185    0.004 copy.py:306(_reconstruct)
   140877    0.108    0.000    0.182    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.000    0.000 csv.py:127(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:166(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:26(Dialect)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:57(excel)
        1    0.000    0.000    0.000    0.000 csv.py:67(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:73(DictReader)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        1    0.003    0.003    0.003    0.003 hashlib.py:56(<module>)
      139    0.142    0.001   18.460    0.133 prototype excl calculation.py:108(generate_children)
        1    0.000    0.000    0.000    0.000 prototype excl calculation.py:32(country)
       33    0.000    0.000    0.000    0.000 prototype excl calculation.py:34(__init__)
       33    0.000    0.000    0.000    0.000 prototype excl calculation.py:44(add_adjacent_countries)
        1    0.515    0.515   18.987   18.987 prototype excl calculation.py:5(<module>)
      139    0.006    0.000    0.006    0.000 prototype excl calculation.py:53(update_available_colours)
        1    0.000    0.000    0.000    0.000 prototype excl calculation.py:8(load_dict)
      139    0.010    0.000    0.017    0.000 prototype excl calculation.py:93(next_child)
        1    0.000    0.000    0.004    0.004 random.py:100(seed)
     1450    0.003    0.000    0.004    0.000 random.py:273(choice)
        1    0.003    0.003    0.010    0.010 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:655(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:805(SystemRandom)
        1    0.000    0.000    0.004    0.004 random.py:91(__init__)
        1    0.000    0.000    0.000    0.000 {_csv.reader}
        2    0.000    0.000    0.000    0.000 {_csv.register_dialect}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
   140877    0.074    0.000    0.074    0.000 {built-in method __new__ of type object at 0x1E229458}
        1    0.002    0.002    0.002    0.002 {function seed at 0x02510370}
   281760    0.315    0.000    0.315    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
   140878    0.216    0.000    0.216    0.000 {hasattr}
  4717601    0.528    0.000    0.528    0.000 {id}
   422631    0.213    0.000    0.213    0.000 {isinstance}
   140877    0.081    0.000    0.081    0.000 {issubclass}
   284212    0.059    0.000    0.059    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
   140877    1.626    0.000    1.626    0.000 {method '__reduce_ex__' of 'object' objects}
  2043925    0.465    0.000    0.465    0.000 {method 'append' of 'list' objects}
