connection,color
32,blue
21,blue
78,blue
15,yellow
23,yellow
89,blue
86,yellow
00,green
07,yellow
60,blue
62,green
52,red
67,blue
12,green
82,blue
80,blue
69,red
87,yellow
64,blue
72,yellow
99,yellow
94,green
47,yellow
73,red
43,yellow
25,green
59,yellow
39,green
55,blue
54,blue
75,yellow
06,red
56,green
93,red
01,red
88,blue
33,blue
31,green
37,green
68,blue
40,yellow
90,yellow
14,green
09,yellow
13,yellow
17,yellow
49,green
05,red
41,yellow
24,green
57,yellow
44,green
85,red
48,yellow
50,blue
02,yellow
36,green
29,red
91,green
11,green
27,blue
58,blue
22,red
79,yellow
03,blue
26,yellow
38,red
51,green
92,blue
28,blue
61,blue
53,green
08,yellow
84,blue
35,yellow
63,yellow
66,yellow
18,green
45,blue
77,green
76,green
74,blue
04,green
46,green
30,blue
95,blue
19,blue
70,yellow
98,blue
10,blue
97,yellow
16,blue
71,yellow
42,yellow
34,blue
65,blue
96,blue
83,yellow
